CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;6158;P;4;0;;;5959;;28;;;6157;;;;;;;;;+01771322;+4771597;;0;
852;3;5416;P;4;0;;;5964;;28;;;5415;;;;;;;;;+01773438;+4771350;;0;
852;3;4844;P;4;0;;;5955;;28;;;4843;;;;;;;;;+01767800;+4771252;;0;
852;3;27283;P;1;12;;;3435;;28;;;51142;1;1;1;1;1;1;;;+01763790;+4766061;;0;
852;3;27284;P;1;12;;;3451;;28;;;51142;1;1;1;1;1;1;;;+01762460;+4768030;;0;
852;3;20366;P;1;9;;;3437;;28;;;50045;1;1;1;1;1;1;;;+01764460;+4768850;;0;
852;3;20367;P;1;12;;;8284;;28;;;50045;1;1;1;1;1;1;;;+01763650;+4769880;;0;
852;3;20368;P;1;12;;;8205;;28;;;50045;1;1;1;1;1;1;;;+01763430;+4770780;;0;
852;3;6393;P;1;8;;;475;;1377;;;50045;1;1;1;1;1;1;;;+01764424;+4773820;;0;
852;3;20369;P;1;12;;;11883;;1377;;;50045;1;1;1;1;1;1;;;+01764140;+4775790;;0;
852;3;20370;P;3;14;;;11881;;1040;;;50045;1;1;1;1;1;1;;;+01765150;+4779340;;0;
852;3;6164;P;4;0;;;5957;;28;;;6163;;;;;;;;;+01771168;+4771676;;0;
852;3;6160;P;4;0;;;5958;;28;;;6159;;;;;;;;;+01771404;+4771598;;0;
852;3;6629;P;4;0;;;5961;;28;;;6628;;;;;;;;;+01780117;+4768920;;0;
852;3;4232;P;4;0;;;5818;;718;;;4231;;;;;;;;;+01780157;+4768673;;0;
852;3;6162;P;4;0;;;5960;;28;;;6161;;;;;;;;;+01771186;+4771732;;0;
852;3;4812;P;4;0;;;5791;;1048;;;4811;;;;;;;;;+01754857;+4767627;;0;
852;3;5858;P;4;0;;;5819;;1048;;;5857;;;;;;;;;+01754820;+4767599;;0;
852;3;4242;P;4;0;;;5820;;1048;;;4241;;;;;;;;;+01755105;+4767761;;0;
852;3;6623;P;4;0;;;5820;;1048;;;6622;;;;;;;;;+01754831;+4767835;;0;
852;3;6625;P;4;0;;;5819;;1048;;;6624;;;;;;;;;+01755090;+4767533;;0;
852;3;27323;P;1;9;;;3452;;28;;;51152;1;1;1;1;1;1;;;+01765900;+4765350;;0;
